state_ut,year,crime_family,registered_cases,data_kind,source_url,source_release_date
Gujarat,2021,cybercrime,1536,official_aggregate,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2241336&lang=1&reg=1,2026-03-17
Gujarat,2022,cybercrime,1417,official_aggregate,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2241336&lang=1&reg=1,2026-03-17
Gujarat,2023,cybercrime,1995,official_aggregate,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2241336&lang=1&reg=1,2026-03-17
Haryana,2021,cybercrime,622,official_aggregate,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2241336&lang=1&reg=1,2026-03-17
Haryana,2022,cybercrime,681,official_aggregate,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2241336&lang=1&reg=1,2026-03-17
Haryana,2023,cybercrime,751,official_aggregate,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2241336&lang=1&reg=1,2026-03-17
Himachal Pradesh,2021,cybercrime,70,official_aggregate,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2241336&lang=1&reg=1,2026-03-17
Himachal Pradesh,2022,cybercrime,77,official_aggregate,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2241336&lang=1&reg=1,2026-03-17
Himachal Pradesh,2023,cybercrime,127,official_aggregate,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2241336&lang=1&reg=1,2026-03-17
Jharkhand,2021,cybercrime,953,official_aggregate,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2241336&lang=1&reg=1,2026-03-17
Jharkhand,2022,cybercrime,967,official_aggregate,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2241336&lang=1&reg=1,2026-03-17
Jharkhand,2023,cybercrime,1079,official_aggregate,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2241336&lang=1&reg=1,2026-03-17
Karnataka,2021,cybercrime,8136,official_aggregate,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2241336&lang=1&reg=1,2026-03-17
Karnataka,2022,cybercrime,12556,official_aggregate,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2241336&lang=1&reg=1,2026-03-17
Karnataka,2023,cybercrime,21889,official_aggregate,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2241336&lang=1&reg=1,2026-03-17
Kerala,2021,cybercrime,626,official_aggregate,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2241336&lang=1&reg=1,2026-03-17
Kerala,2022,cybercrime,773,official_aggregate,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2241336&lang=1&reg=1,2026-03-17
Kerala,2023,cybercrime,3295,official_aggregate,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2241336&lang=1&reg=1,2026-03-17
Madhya Pradesh,2021,cybercrime,589,official_aggregate,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2241336&lang=1&reg=1,2026-03-17
Madhya Pradesh,2022,cybercrime,826,official_aggregate,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2241336&lang=1&reg=1,2026-03-17
Madhya Pradesh,2023,cybercrime,685,official_aggregate,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2241336&lang=1&reg=1,2026-03-17
Maharashtra,2021,cybercrime,5562,official_aggregate,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2241336&lang=1&reg=1,2026-03-17
Maharashtra,2022,cybercrime,8249,official_aggregate,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2241336&lang=1&reg=1,2026-03-17
Maharashtra,2023,cybercrime,8103,official_aggregate,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2241336&lang=1&reg=1,2026-03-17
Manipur,2021,cybercrime,67,official_aggregate,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2241336&lang=1&reg=1,2026-03-17
Manipur,2022,cybercrime,18,official_aggregate,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2241336&lang=1&reg=1,2026-03-17
Manipur,2023,cybercrime,3,official_aggregate,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2241336&lang=1&reg=1,2026-03-17
Meghalaya,2021,cybercrime,107,official_aggregate,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2241336&lang=1&reg=1,2026-03-17
Meghalaya,2022,cybercrime,75,official_aggregate,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2241336&lang=1&reg=1,2026-03-17
Meghalaya,2023,cybercrime,64,official_aggregate,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2241336&lang=1&reg=1,2026-03-17
Mizoram,2021,cybercrime,30,official_aggregate,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2241336&lang=1&reg=1,2026-03-17
Mizoram,2022,cybercrime,1,official_aggregate,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2241336&lang=1&reg=1,2026-03-17
Mizoram,2023,cybercrime,31,official_aggregate,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2241336&lang=1&reg=1,2026-03-17
Nagaland,2021,cybercrime,8,official_aggregate,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2241336&lang=1&reg=1,2026-03-17
Nagaland,2022,cybercrime,4,official_aggregate,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2241336&lang=1&reg=1,2026-03-17
Nagaland,2023,cybercrime,2,official_aggregate,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2241336&lang=1&reg=1,2026-03-17
Odisha,2021,cybercrime,2037,official_aggregate,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2241336&lang=1&reg=1,2026-03-17
Odisha,2022,cybercrime,1983,official_aggregate,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2241336&lang=1&reg=1,2026-03-17
Odisha,2023,cybercrime,2348,official_aggregate,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2241336&lang=1&reg=1,2026-03-17
Punjab,2021,cybercrime,551,official_aggregate,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2241336&lang=1&reg=1,2026-03-17
Punjab,2022,cybercrime,697,official_aggregate,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2241336&lang=1&reg=1,2026-03-17
Punjab,2023,cybercrime,511,official_aggregate,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2241336&lang=1&reg=1,2026-03-17
Rajasthan,2021,cybercrime,1504,official_aggregate,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2241336&lang=1&reg=1,2026-03-17
Rajasthan,2022,cybercrime,1833,official_aggregate,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2241336&lang=1&reg=1,2026-03-17
Rajasthan,2023,cybercrime,2435,official_aggregate,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2241336&lang=1&reg=1,2026-03-17
Sikkim,2021,cybercrime,0,official_aggregate,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2241336&lang=1&reg=1,2026-03-17
Sikkim,2022,cybercrime,26,official_aggregate,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2241336&lang=1&reg=1,2026-03-17
Sikkim,2023,cybercrime,12,official_aggregate,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2241336&lang=1&reg=1,2026-03-17
Tamil Nadu,2021,cybercrime,1076,official_aggregate,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2241336&lang=1&reg=1,2026-03-17
Tamil Nadu,2022,cybercrime,2082,official_aggregate,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2241336&lang=1&reg=1,2026-03-17
Tamil Nadu,2023,cybercrime,4121,official_aggregate,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2241336&lang=1&reg=1,2026-03-17
Telangana,2021,cybercrime,10303,official_aggregate,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2241336&lang=1&reg=1,2026-03-17
Telangana,2022,cybercrime,15297,official_aggregate,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2241336&lang=1&reg=1,2026-03-17
Telangana,2023,cybercrime,18236,official_aggregate,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2241336&lang=1&reg=1,2026-03-17
Tripura,2021,cybercrime,24,official_aggregate,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2241336&lang=1&reg=1,2026-03-17
Tripura,2022,cybercrime,30,official_aggregate,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2241336&lang=1&reg=1,2026-03-17
Tripura,2023,cybercrime,36,official_aggregate,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2241336&lang=1&reg=1,2026-03-17
Uttar Pradesh,2021,cybercrime,8829,official_aggregate,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2241336&lang=1&reg=1,2026-03-17
Uttar Pradesh,2022,cybercrime,10117,official_aggregate,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2241336&lang=1&reg=1,2026-03-17
Uttar Pradesh,2023,cybercrime,10794,official_aggregate,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2241336&lang=1&reg=1,2026-03-17
Uttarakhand,2021,cybercrime,718,official_aggregate,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2241336&lang=1&reg=1,2026-03-17
Uttarakhand,2022,cybercrime,559,official_aggregate,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2241336&lang=1&reg=1,2026-03-17
Uttarakhand,2023,cybercrime,494,official_aggregate,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2241336&lang=1&reg=1,2026-03-17
West Bengal,2021,cybercrime,513,official_aggregate,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2241336&lang=1&reg=1,2026-03-17
West Bengal,2022,cybercrime,401,official_aggregate,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2241336&lang=1&reg=1,2026-03-17
West Bengal,2023,cybercrime,309,official_aggregate,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2241336&lang=1&reg=1,2026-03-17
A&N Islands,2021,cybercrime,8,official_aggregate,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2241336&lang=1&reg=1,2026-03-17
A&N Islands,2022,cybercrime,28,official_aggregate,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2241336&lang=1&reg=1,2026-03-17
A&N Islands,2023,cybercrime,47,official_aggregate,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2241336&lang=1&reg=1,2026-03-17
Chandigarh,2021,cybercrime,15,official_aggregate,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2241336&lang=1&reg=1,2026-03-17
Chandigarh,2022,cybercrime,27,official_aggregate,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2241336&lang=1&reg=1,2026-03-17
Chandigarh,2023,cybercrime,23,official_aggregate,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2241336&lang=1&reg=1,2026-03-17
D&N Haveli and Daman & Diu,2021,cybercrime,5,official_aggregate,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2241336&lang=1&reg=1,2026-03-17
D&N Haveli and Daman & Diu,2022,cybercrime,5,official_aggregate,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2241336&lang=1&reg=1,2026-03-17
D&N Haveli and Daman & Diu,2023,cybercrime,6,official_aggregate,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2241336&lang=1&reg=1,2026-03-17
Delhi,2021,cybercrime,356,official_aggregate,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2241336&lang=1&reg=1,2026-03-17
Delhi,2022,cybercrime,685,official_aggregate,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2241336&lang=1&reg=1,2026-03-17
Delhi,2023,cybercrime,407,official_aggregate,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2241336&lang=1&reg=1,2026-03-17
Jammu & Kashmir,2021,cybercrime,154,official_aggregate,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2241336&lang=1&reg=1,2026-03-17
Jammu & Kashmir,2022,cybercrime,173,official_aggregate,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2241336&lang=1&reg=1,2026-03-17
Jammu & Kashmir,2023,cybercrime,185,official_aggregate,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2241336&lang=1&reg=1,2026-03-17
Ladakh,2021,cybercrime,5,official_aggregate,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2241336&lang=1&reg=1,2026-03-17
Ladakh,2022,cybercrime,3,official_aggregate,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2241336&lang=1&reg=1,2026-03-17
Ladakh,2023,cybercrime,1,official_aggregate,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2241336&lang=1&reg=1,2026-03-17
Lakshadweep,2021,cybercrime,1,official_aggregate,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2241336&lang=1&reg=1,2026-03-17
Lakshadweep,2022,cybercrime,1,official_aggregate,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2241336&lang=1&reg=1,2026-03-17
Lakshadweep,2023,cybercrime,1,official_aggregate,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2241336&lang=1&reg=1,2026-03-17
Puducherry,2021,cybercrime,0,official_aggregate,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2241336&lang=1&reg=1,2026-03-17
Puducherry,2022,cybercrime,64,official_aggregate,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2241336&lang=1&reg=1,2026-03-17
Puducherry,2023,cybercrime,147,official_aggregate,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2241336&lang=1&reg=1,2026-03-17
